Date;Advanced Micro Devices (EUR);Airbus (EUR);Alphabet A (EUR);Amazon (EUR);BASF (EUR);BMW (EUR);BP (EUR);Bayer (EUR);Brenntag (EUR);Cisco (EUR);Commerzbank (EUR);Deutsche Bank (EUR);Deutsche Telekom (EUR);Dow (EUR);E.ON (EUR);Einhell Ger  Vz I (EUR);Equinor (EUR);Evonik Industries (EUR);Exxon Mobil (EUR);Henkel (EUR);Honeywell (EUR);IBM (EUR);ING (EUR);Infineon (EUR);Intel (EUR);Linde (EUR);Mercedes-Benz (EUR);Merck KGaA (EUR);Meta (EUR);Microsoft (EUR);NVIDIA (EUR);Novartis (EUR);Palantir (EUR);Pfizer (EUR);Porsche (Vz) (EUR);Qiagen (EUR);RWE (EUR);Rheinmetall (EUR);SAP (EUR);Shell (EUR);Siemens (EUR);Tesla (EUR);Total Energy (EUR);Volkswagen (EUR);Wacker Chemie (EUR)
21.08.2020 00:00:00;71,29;68,6;66,72;139225;49,40;56,61;3066;56,57;52,10;35,79;4606;7768;14915;37065;9,84;;13455;;34,85;74,25;133,34;99,9496;6603;22,29;41805;;34,4806;111,95;226,25;180,82;10,7763;;;29,4463;;46,8477;32,56;77,38;136,14;12584;104,4792;115,9467;;147,50;83,42
24.08.2020 00:00:00;70,23;71,56;67,02;140125;51,66;58,10;3111;58,29;52,72;35755;4,71;8124;15145;39175;10,10;;13,99;24,55;35,69;75,80;135,00;101,6696;6827;22785;41645;207,40;35,8447;114,15;230,00;181,02;10785;;;29,2684;;46,4872;33,37;79,42;139,00;12,97;107,3458;113,84;;149,80;84,70
25.08.2020 00:00:00;72,81;71,65;67,88;141,40;51,80;57,80;3,0845;58,10;52,20;35505;4,73;8173;15,27;38745;10,12;;13805;24,89;34,60;75,55;139,24;100,7619;6957;22905;41805;210,90;35,5425;114,70;237,40;182,86;10,7688;;;28,8236;;46519;33,37;79,56;139,84;12,75;106,9492;114,0133;;150,50;83,52
26.08.2020 00:00:00;72,7;70,49;69,67;145,75;52,28;59,28;3,04;58,00;53,02;35,77;4868;8284;15145;38485;10045;;13625;24,79;33,88;76,20;139,68;100,3796;7008;23,83;41,92;212,00;35,9916;115,40;257,05;186,92;10,8113;;;28,6457;;46,7947;33,49;79,04;142,42;12752;108,2653;121,16;;153,40;83,70
27.08.2020 00:00:00;70,99;71,51;69,03;143,80;51,67;59,46;3,01;56,75;52,34;35,77;4859;8232;15135;39045;10025;;13,59;24,79;33,65;76,50;141,12;100,8096;6948;23345;41855;214,90;36021;113,90;248,45;191,90;10,6988;;;28,5567;;44,9708;33,10;79,78;140,44;12608;107,2737;126,2133;;152,80;82,64
28.08.2020 00:00:00;71,72;71,45;68,9;142875;51,48;59,79;3003;55,30;51,82;35445;4961;8306;15,03;38,60;9994;;13,74;24,95;34285;76,25;141,20;100523;7056;23385;42,43;212,70;35,9916;113,80;246,70;192,24;11,0625;;;28,4678;;45,1087;33,13;79,52;139,88;12738;106859;124,00;;152,10;82,54
31.08.2020 00:00:00;76,08;69,5;68,27;144,75;51,05;60,71;2,9595;56,20;52,50;35,28;4918;7967;14,85;37,83;9,92;;13425;24,55;33615;75,60;138,60;98803;6881;23275;42775;213,30;35765;113,95;245,55;189,40;11,25;;;28,2898;;45,6601;33,31;78,56;138,70;12568;104,8397;139,50;;150,10;81,86
01.09.2020 00:00:00;77,41;69,12;69,2;146875;50,77;60,25;2,9335;55,69;52,88;35305;4,85;8,00;14,72;39,52;9882;;13,48;24,55;33,04;76,15;141,20;99,0419;6,76;23475;42,59;209,60;35,8657;114,30;248,20;190,84;11,6125;;;27,4892;;45,2041;33,05;76,36;139,32;12286;104,8397;133,05;;149,00;81,80
02.09.2020 00:00:00;76,3;72,64;72,59;149025;51,90;60,88;2924;56,36;53,60;35,95;4777;7,99;15,46;41,17;10,04;;13365;23,65;33,12;76,95;143,50;103,6763;6859;24,25;44205;215,30;36,5163;118,60;255,40;195,70;12125;;;28,0229;;44,9814;33,80;78,60;142,30;12,31;107,5441;126,00;;151,00;84,10
03.09.2020 00:00:00;69,39;71,4;68,78;142,10;51,75;60,02;2923;55,30;51,92;34,61;4701;7848;15205;40715;10,17;;13075;24,02;32,85;75,60;139,88;99,7108;6844;22895;42,50;219,90;35,9874;115,85;246,10;183,50;10,9713;;;27,3112;;42023;32,73;77,06;137,50;12,23;105,02;114,6333;;149,20;81,10
